일시,시도,시_군_구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2024-01-01 00:04:00,경상북도,구미시,"자동차,철도차량","담뱃불, 라이터불","기타(담뱃불,라이터불)",방화의심,방화의심,"자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)",0,0,0,330,"자동차,철도차량",자동차,승용자동차
2024-01-01 00:16:00,서울특별시,송파구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,재활용,0,0,0,151,기타,야외,쓰레기
2024-01-01 00:35:00,경기도,포천시,"자동차,철도차량","불꽃, 불티","모닥불, 연탄, 숯",기타,기타,기타,기타,0,0,0,3300,"자동차,철도차량",자동차,승용자동차
2024-01-01 01:03:00,충청남도,천안시서북구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,365,주거,단독주택,단독주택
2024-01-01 01:09:00,부산광역시,해운대구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,0,주거,공동주택,다세대주택
2024-01-01 01:35:00,강원특별자치도,양양군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,0,0,0,2653,주거,단독주택,단독주택
2024-01-01 01:37:00,세종특별자치시,세종,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,996,주거,공동주택,아파트
2024-01-01 01:42:00,울산광역시,중구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자","전기, 전자기기 기판",0,0,0,148,"의료,복지시설",의료시설,요양병원
2024-01-01 01:42:00,경상남도,거제시,기타(쓰레기 화재등),"폭발물, 폭죽",폭죽,부주의,"불씨,불꽃,화원방치",쓰레기류,쓰레기,0,0,0,5,기타,야외,쓰레기
2024-01-01 02:40:00,전라남도,광양시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,1417,산업시설,발전시설,"송, 배전설비"
2024-01-01 03:08:00,경상남도,하동군,"선박,항공기",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,24310,"선박,항공기",선박,어선
2024-01-01 03:55:00,경기도,광주시,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,0,0,0,550,"자동차,철도차량",자동차,기타 승합자동차
2024-01-01 04:23:00,경기도,화성시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"자동차,철도차량,선박,항공기",전기배선,0,0,0,385,주거,공동주택,다세대주택
